	epoch	step	train_loss	val_loss
146	37	50	0.17092637717723846	
147	37	100	0.1735302060842514	
148	37	final	0.1839231252670288	0.16692325721184412
149	38	0	0.17061282694339752	
150	38	50	0.16769061982631683	
151	38	100	0.1722888946533203	
152	38	final	0.18071678280830383	0.1667421367019415
153	39	0	0.17327159643173218	
154	39	50	0.16868354380130768	
155	39	100	0.17296548187732697	
156	39	final	0.15650302171707153	0.1677079734702905
157	40	0	0.16490106284618378	
158	40	50	0.1704256683588028	
159	40	100	0.16178463399410248	
160	40	final	0.16338221728801727	0.16653265369435152
161	41	0	0.1626126915216446	
162	41	50	0.168715700507164	
163	41	100	0.16259758174419403	
164	41	final	0.1642434448003769	0.16679450869560242
165	42	0	0.16313432157039642	
166	42	50	0.17027078568935394	
167	42	100	0.1663631796836853	
168	42	final	0.17712216079235077	0.16691737187405428
169	43	0	0.16448263823986053	
170	43	50	0.1722709834575653	
171	43	100	0.15271644294261932	
172	43	final	0.1801818162202835	0.16717590702076754
173	44	0	0.1547406017780304	
174	44	50	0.16144801676273346	
175	44	100	0.1631018966436386	
176	44	final	0.16442857682704926	0.1666007749736309
177	45	0	0.17509345710277557	
178	45	50	0.17046569287776947	
179	45	100	0.17178693413734436	
180	45	final	0.1699879765510559	0.16679304651916027
181	46	0	0.15524820983409882	
182	46	50	0.17113101482391357	
183	46	100	0.16878384351730347	
184	46	final	0.1658930778503418	0.16670720900098482
185	47	0	0.16139580309391022	
186	47	50	0.17388643324375153	
187	47	100	0.18062154948711395	
188	47	final	0.2020871937274933	0.16620651880900064
189	48	0	0.17333364486694336	
190	48	50	0.17196916043758392	
191	48	100	0.16759373247623444	
192	48	final	0.1650228202342987	0.16665381751954556
193	49	0	0.1827336698770523	
194	49	50	0.15768904983997345	
195	49	100	0.17525245249271393	
196	49	final	0.16549621522426605	0.16641088761389256
197	50	0	0.1694810539484024	
198	50	50	0.16838200390338898	
199	50	100	0.16122765839099884	
200	50	final	0.15412336587905884	0.166388268272082
