epoch,step,train_loss,val_loss
1,0,0.1700398027896881,
1,50,0.16428956389427185,
1,final,0.1742200404405594,0.1672978587448597
2,0,0.17360346019268036,
2,50,0.1791907101869583,
2,final,0.1677546501159668,0.16669941817720732
3,0,0.1690361350774765,
3,50,0.16120344400405884,
3,final,0.15609104931354523,0.16687422866622606
4,0,0.169054314494133,
4,50,0.16546955704689026,
4,final,0.17204980552196503,0.16612592587868372
5,0,0.1653960645198822,
5,50,0.15664483606815338,
5,final,0.15987209975719452,0.1668312375744184
6,0,0.16694822907447815,
6,50,0.1638922393321991,
6,final,0.15387533605098724,0.16715090970198312
7,0,0.1605948954820633,
7,50,0.17985934019088745,
7,final,0.16517597436904907,0.1666872501373291
8,0,0.16214384138584137,
8,50,0.16854190826416016,
8,final,0.15081974864006042,0.16716362287600836
9,0,0.16697894036769867,
9,50,0.16319391131401062,
9,final,0.17316749691963196,0.16689196353157362
10,0,0.16714875400066376,
10,50,0.16997189819812775,
10,final,0.15111632645130157,0.16782135516405106
11,0,0.1658904254436493,
11,50,0.16364356875419617,
11,final,0.15996544063091278,0.16738464310765266
12,0,0.17472314834594727,
12,50,0.16426873207092285,
12,final,0.18374750018119812,0.1671339583893617
13,0,0.16400155425071716,
13,50,0.16961437463760376,
13,final,0.1737634390592575,0.16793313870827356
14,0,0.1695650964975357,
14,50,0.16063660383224487,
14,final,0.1629098355770111,0.16629289463162422
15,0,0.17309141159057617,
15,50,0.1720353364944458,
15,final,0.17237545549869537,0.16674652571479479
16,0,0.15811221301555634,
16,50,0.15786144137382507,
16,final,0.16443271934986115,0.16711856300632158
17,0,0.16506555676460266,
17,50,0.15944170951843262,
17,final,0.1677442491054535,0.16689215848843256
18,0,0.16365928947925568,
18,50,0.15484346449375153,
18,final,0.16277381777763367,0.16742756341894469
19,0,0.1646362543106079,
19,50,0.17124632000923157,
19,final,0.17222222685813904,0.16721347719430923
20,0,0.1591562032699585,
20,50,0.1629718691110611,
20,final,0.16418112814426422,0.1671444314221541
21,0,0.16722548007965088,
21,50,0.159743532538414,
21,final,0.16403086483478546,0.16717353463172913
22,0,0.15566839277744293,
22,50,0.16098587214946747,
22,final,0.16568027436733246,0.16750490541259447
23,0,0.1642170399427414,
23,50,0.15940113365650177,
23,final,0.16866949200630188,0.16708584253986677
24,0,0.16895729303359985,
24,50,0.15018397569656372,
24,final,0.15921396017074585,0.16815490648150444
25,0,0.16857033967971802,
25,50,0.17459923028945923,
25,final,0.1526067703962326,0.1675360550483068
26,0,0.15852969884872437,
26,50,0.17187392711639404,
26,final,0.15880391001701355,0.167481088389953
27,0,0.15455040335655212,
27,50,0.15976466238498688,
27,final,0.17498552799224854,0.1679180550078551
28,0,0.1580127328634262,
